iter	Passed	Remaining
344	1478	6237
345	1482	6231
346	1487	6227
347	1491	6221
348	1494	6214
349	1498	6209
350	1503	6206
351	1507	6202
352	1512	6199
353	1516	6193
354	1520	6189
355	1528	6199
356	1533	6196
357	1536	6190
358	1540	6185
359	1544	6179
360	1548	6173
361	1552	6167
362	1557	6165
363	1560	6154
364	1564	6151
365	1568	6145
366	1572	6139
367	1576	6132
368	1579	6126
369	1583	6120
370	1587	6114
371	1591	6110
372	1596	6107
373	1600	6101
374	1604	6096
375	1608	6091
376	1613	6091
377	1618	6089
378	1622	6082
379	1627	6080
380	1632	6079
381	1635	6072
382	1639	6066
383	1644	6064
384	1648	6058
385	1652	6052
386	1656	6049
387	1660	6043
388	1665	6040
389	1669	6034
390	1672	6027
391	1676	6021
392	1681	6019
393	1686	6017
394	1690	6012
395	1694	6006
396	1698	6002
397	1702	5998
398	1707	5994
399	1712	5993
400	1717	5992
401	1725	6001
402	1730	5998
403	1734	5994
404	1739	5991
405	1743	5987
406	1747	5981
407	1753	5982
408	1759	5982
409	1767	5991
410	1769	5980
411	1773	5975
412	1778	5971
413	1782	5966
414	1785	5960
415	1790	5958
416	1795	5953
417	1799	5949
418	1804	5946
419	1810	5947
420	1814	5943
421	1817	5935
422	1821	5930
423	1825	5925
424	1831	5924
425	1835	5919
426	1840	5917
